father,son,count
j,s,10
j,a,9
j,e,4
v,a,88
v,g,6
v,e,7
v,l,1
v,o,4
a,r,107
a,t,65
a,p,6
a,m,3
a,l,80
a,b,1
a,y,16
a,d,4
a,x,13
a,s,18
a,v,16
a,n,53
a,c,17
a,g,5
a,a,1
a,k,1
a,i,20
a,u,3
m,a,28
m,e,13
m,t,1
m,l,1
m,n,10
m,b,27
m,p,4
m,m,1
m,o,2
m,i,4
m,u,1
m,d,1
r,g,7
r,i,39
r,e,31
r,s,10
r,n,12
r,a,34
r,m,1
r,d,2
r,y,6
r,o,14
r,t,18
r,c,1
r,r,11
g,i,8
g,h,9
g,l,3
g,e,43
g,o,5
g,r,6
g,s,1
g,t,2
g,m,1
g,n,1
g,g,1
i,n,48
i,g,10
i,d,12
i,h,1
i,f,5
i,o,17
i,c,24
i,m,10
i,s,19
i,a,5
i,r,6
i,e,8
i,t,9
i,l,2
i,p,11
i,v,2
i,b,2
i,q,2
t,o,16
t,t,8
t,h,25
t,e,61
t,r,15
t,i,31
t,y,4
t,u,14
t,a,44
t,l,1
t,b,1
t,f,1
t,c,2
t,w,1
t,p,1
o,p,4
o,t,7
o,m,16
o,d,3
o,n,56
o,r,27
o,c,2
o,b,2
o,l,82
o,u,23
o,f,5
o,g,25
o,s,3
o,i,5
o,v,1
o,j,1
o,k,5
o,y,2
o,o,2
o,w,1
o,e,3
h,t,10
h,e,14
h,a,6
h,f,1
h,r,1
h,i,1
h,u,1
b,o,34
b,a,29
b,l,5
b,n,1
b,u,3
b,e,3
b,b,2
b,i,1
l,e,76
l,a,17
l,l,8
l,o,45
l,u,51
l,n,2
l,i,9
l,s,15
l,w,1
l,y,3
l,d,1
l,g,1
l,c,1
l,t,1
e,f,7
e,i,8
e,t,37
e,l,6
e,c,9
e,n,32
e,r,43
e,s,58
e,a,31
e,d,23
e,g,4
e,y,28
e,b,4
e,p,3
e,e,1
e,k,1
e,u,3
e,x,5
e,m,1
e,o,3
f,t,4
f,f,2
f,u,21
f,o,7
f,i,6
f,r,2
f,a,4
f,e,1
f,b,1
w,i,15
w,o,1
d,t,13
d,y,1
d,h,1
d,i,13
d,a,53
d,e,20
d,d,11
d,w,6
d,n,2
d,u,2
d,m,1
d,o,5
d,r,1
d,c,1
c,r,10
c,t,24
c,e,20
c,s,2
c,k,15
c,a,45
c,o,59
c,l,5
c,h,14
c,j,1
c,p,2
c,i,2
c,n,1
c,f,1
s,v,9
s,e,16
s,p,6
s,t,44
s,c,46
s,y,27
s,s,8
s,f,1
s,l,3
s,g,2
s,u,8
s,a,6
s,o,27
s,d,1
s,h,2
s,k,1
s,i,2
s,n,2
p,p,4
p,e,17
p,r,20
p,a,21
p,l,7
p,t,8
p,u,3
p,o,4
p,h,1
p,q,1
n,d,35
n,c,21
n,e,40
n,s,39
n,n,15
n,g,28
n,a,2
n,t,10
n,o,8
n,p,1
n,y,3
n,i,4
n,r,2
n,v,2
n,l,1
n,b,1
u,n,24
u,r,17
u,m,15
u,l,7
u,t,12
u,p,6
u,e,45
u,i,3
u,s,3
u,b,2
u,x,3
u,v,1
u,c,1
y,p,3
y,m,27
y,e,25
y,a,1
y,l,1
y,o,6
y,s,9
y,d,2
y,f,1
y,r,1
k,s,3
k,e,24
k,b,1
k,r,1
k,n,1
k,k,1
k,a,1
x,i,6
x,t,3
q,u,5
